
"9.803725ms",
"1.262968ms",
"1.117911ms",
"1.124656ms",
"1.084945ms","1.94432ms",
"1.08569ms",
"1.093178ms",
"1.099313ms",
"1.317501ms",
"1.303879ms",
"1.528665ms",
"1.119609ms",
"5.640356ms",
"1.129388ms",
"1.12624ms",
"1.169963ms",
"1.167683ms",
"1.611988ms",
"1.183108ms",
"1.151609ms",
"1.081912ms",
"1.052952ms",
"1.432775ms",
"1.38634ms",
"1.33382ms",
"1.256826ms",
"1.266623ms",
"1.348434ms",
"1.446662ms",
"1.072007ms",
"1.054249ms",
"1.044176ms",
"1.051784ms",
"1.060443ms",
"1.074579ms",
"1.084097ms",
"1.058527ms","25.73473ms",
"1.040983ms",
"1.034286ms",
"1.053609ms",
"2.473417ms",
"1.152924ms",
"1.056032ms",
"1.802871ms",
"1.090868ms",
"3.57688ms",
"1.06692ms",
"1.032229ms",
"1.068041ms",
"1.115106ms",
"1.164214ms",
"1.084229ms",
"1.098411ms",
"1.09007ms",
"1.088956ms",
"1.213132ms",
"1.585073ms",
"1.478027ms",
"1.084048ms",
"1.180244ms",
"1.07006ms",
"1.133096ms",
"1.077128ms",
"1.083123ms",
"1.12538ms",
"1.106202ms",
"1.082422ms",
"1.161825ms",
"1.1957ms",
"1.095768ms",
"1.606507ms",
"1.617819ms",
"1.12193ms",
"1.30592ms",
"1.115546ms",
"1.071536ms",
"1.088463ms",
"1.204195ms",
"1.188705ms",
"1.495979ms",
"1.742708ms",
"1.122364ms",
"1.155916ms",
"1.111464ms",
"1.120543ms",
"1.125348ms",
"1.148012ms",
"1.075903ms",
"1.109351ms",
"1.583947ms",
"1.155068ms",
"1.467091ms",
"1.156487ms",
"1.127882ms",
"1.250365ms",
"1.510742ms",
"1.153467ms",
"1.240299ms",
"1.18297ms",
"1.17008ms",
"1.197893ms",
"1.169699ms",
"1.19147ms",
"3.905337ms",
"1.575785ms",
"1.536496ms",
"1.235538ms",
"1.240139ms",
"1.240248ms",
"1.161918ms",
"4.015284ms",
"1.557231ms",
"1.201699ms",
"1.290863ms",
"1.584894ms",
"3.300891ms",
"1.186762ms",
"1.195042ms",
"1.264647ms",
"1.229938ms",
"1.201581ms",
"1.20331ms","2.239681ms",
"1.219691ms",
"1.220153ms",
"1.652512ms",
"1.215877ms",
"1.271226ms",
"3.163246ms",
"1.62078ms",
"1.23444ms",
"1.659905ms",
"1.576771ms",
"2.319099ms",
"1.215945ms",
"1.226687ms",
"2.026001ms",
"1.257137ms",
"2.877727ms",
"1.274321ms",
"1.267037ms",
"1.948782ms",
"1.282062ms",
"1.307695ms",
"1.256359ms",
"1.277516ms",
"2.746906ms",
"1.243629ms",
"1.283617ms",
"1.25211ms",
"3.866706ms",
"1.6252ms",
"1.303946ms",
"1.284466ms",
"1.272713ms",
"4.272365ms",
"1.262644ms",
"1.321696ms",
"1.314986ms",
"1.297623ms","1.50493ms",
"1.282712ms",
"1.263659ms",
"1.291879ms",
"1.70037ms",
"1.297856ms","1.494451ms",
"1.743102ms",
"1.364919ms",
"1.367775ms",
"1.300713ms",
"1.332537ms",
"1.387126ms",
"3.706712ms",
"1.384399ms",
"1.322861ms",
"3.525365ms",
"1.329618ms",
"1.332454ms",
"1.331397ms",
"1.352348ms",
"1.45771ms",
"1.363465ms",
"1.368142ms",
"3.163563ms",
"1.72622ms",
"1.392495ms",
"3.625579ms",
"1.39876ms",
"1.386061ms",
"3.514266ms",
"1.828093ms",
"1.360884ms",
"1.398616ms",
"1.38247ms",
"1.47718ms",
"1.511024ms",
"1.361931ms",
"1.360668ms",
"1.377627ms",
"2.791059ms",
"1.324344ms",
"1.385766ms",
"1.398117ms",
"3.824984ms",
"1.407137ms",
"1.516328ms","1.695364ms",
"1.351375ms",
"1.364805ms",
"1.397673ms",
